HOUSEID,HHFAMINC,HHSIZE,HHVEHCNT,URBRUR,MSASIZE,TRAVDAY,TRPMILES,VEHAGE,VEHOWNED,VEHFUEL,DRIVINGOCCUPATION,LIF_CYC,LAST30_PT,LAST30_BIKE,LAST30_ESCT,LAST30_RDSHR,LAST30_TAXI,LAST30_WALK,BIKETRANSIT,DRIVER,TRPTRANS,CONDNONE,CONDTRAV,COV1_PT,COV2_PT
9000216293,8,3,3,1,5,5,17.34244873,10,1,1,2,2,2,2,2,2,2,2,-1,1,4,-1,-1,2,-1
9000216293,8,3,3,1,5,5,17.20882536,10,1,1,2,2,2,2,2,2,2,2,-1,1,4,-1,-1,2,-1
9000216294,7,1,1,1,4,3,16.62461156,9,1,6,2,1,2,2,2,2,2,1,-1,1,1,-1,-1,2,-1
9000216294,7,1,1,1,4,3,16.68303294,9,1,6,2,1,2,2,2,2,2,1,-1,1,1,-1,-1,2,-1
9000216296,5,2,1,1,1,3,3.077688005,17,1,1,-1,10,2,2,2,2,2,1,-1,1,1,2,1,2,-1
9000216339,8,2,4,2,2,5,9.317588564,1,1,1,-1,10,2,2,2,2,2,2,-1,1,3,-1,-1,4,-1
9000216339,8,2,4,2,2,5,12.45494096,1,1,1,-1,10,2,2,2,2,2,2,-1,1,1,-1,-1,4,-1
9000216339,8,2,4,2,2,5,12.27470479,1,1,1,-1,10,2,2,2,2,2,2,-1,1,1,-1,-1,4,-1
9000216374,10,2,3,1,5,5,4.571783717,16,1,1,-1,10,2,1,2,2,2,1,0,1,3,-1,-1,3,3
9000216374,10,2,3,1,5,5,2.276569298,16,1,1,-1,10,2,1,2,2,2,1,0,1,3,-1,-1,3,3
9000216378,10,6,3,2,4,5,10.89869484,4,1,1,-1,6,2,2,2,2,2,2,-1,1,3,-1,-1,2,-1
9000216378,10,6,3,2,4,5,21.8303294,4,1,1,-1,6,2,2,2,2,2,2,-1,1,1,-1,-1,2,-1
9000216378,10,6,3,2,4,5,21.77812306,4,1,1,-1,6,2,2,2,2,2,2,-1,1,1,-1,-1,2,-1
9000216401,3,1,2,2,6,4,46.54319453,8,1,1,-1,9,2,2,2,2,2,2,-1,1,1,-1,-1,2,-1
9000216401,3,1,2,2,6,4,46.71286513,8,1,1,-1,9,2,2,2,2,2,2,-1,1,1,-1,-1,2,-1
9000216410,6,1,1,1,3,6,12.60969546,3,1,1,2,1,2,2,2,2,2,2,-1,1,1,-1,-1,4,-1
9000216414,5,2,6,2,6,4,27.25978869,7,1,2,-1,2,2,2,2,2,2,2,-1,1,4,-1,-1,5,-1
9000216422,9,4,2,1,2,1,12.29334991,4,1,1,-1,4,2,1,2,2,2,1,2,1,1,-1,-1,4,-1
9000216422,9,4,2,1,2,1,12.538844,4,1,1,-1,4,2,1,2,2,2,1,2,1,1,-1,-1,4,-1
9000216462,9,4,3,1,3,4,5.215040398,10,1,1,2,6,1,1,2,2,2,1,5,1,3,-1,-1,4,-1
9000216471,10,2,1,1,5,2,2.076444997,4,1,6,2,2,1,1,2,2,2,1,8,1,20,-1,-1,3,1
9000216471,10,2,1,1,5,2,1.932877564,4,1,6,2,2,1,1,2,2,2,1,8,1,1,-1,-1,3,1
9000216471,10,2,1,1,5,2,0.510876321,4,1,6,2,2,1,1,2,2,2,1,8,1,20,-1,-1,3,1
9000216479,8,2,2,2,6,4,3.127408328,11,1,2,-1,10,2,2,2,2,2,2,-1,1,3,-1,-1,2,-1
9000216479,8,2,2,2,6,4,3.119328776,11,1,2,-1,10,2,2,2,2,2,2,-1,1,3,-1,-1,2,-1
9000216523,9,3,3,1,1,1,8.971410814,4,1,1,1,8,2,2,2,2,2,1,-1,1,4,-1,-1,4,-1
9000216523,9,3,3,1,1,1,5.137352393,4,1,1,1,8,2,2,2,2,2,1,-1,1,4,-1,-1,4,-1
9000216530,5,3,1,1,5,6,16.17215662,19,1,1,2,5,1,2,2,1,2,1,-1,1,1,-1,-1,3,1
